Date,Description,Amount,Category
2026-02-28,Gift,-67.97,Other
2026-02-23,Airbnb,-90.71,Travel
2026-02-07,Auto Repair,-80.56,Transportation
2026-02-03,Steam Games,-56.18,Entertainment
2026-02-24,Delta Airlines,-88.43,Travel
2026-02-12,Steam Games,-111.43,Entertainment
2026-02-05,Salary / Payroll,10000.0,Income
2026-02-01,Car Rental,-77.95,Travel
2026-02-22,Amazon,-112.77,Shopping
2026-02-28,Health Insurance,-88.68,Healthcare
2026-02-03,Tuition Fee,-13.4,Education
2026-02-21,Miscellaneous,-166.38,Other
2026-02-09,Charity Donation,-19.84,Other
2026-02-26,Shell Gas,-72.33,Transportation
2026-02-11,Subscription,-173.54,Other
2026-02-27,Netflix,-127.56,Entertainment
2026-02-05,Netflix,-141.52,Entertainment
2026-02-06,Car Rental,-70.36,Travel
2026-02-19,Charity Donation,-136.03,Other
2026-02-16,Phone Bill,-64.72,Bills & Utilities
2026-02-21,Health Insurance,-84.04,Healthcare
2026-02-02,Netflix,-180.09,Entertainment
2026-02-25,Airbnb,-182.11,Travel
2026-02-13,Health Insurance,-144.34,Healthcare
2026-02-03,Dental Clinic,-199.8,Healthcare
2026-02-13,Spotify,-24.88,Entertainment
2026-02-07,Miscellaneous,-57.49,Other
2026-02-09,Spotify,-58.19,Entertainment
2026-02-05,Online Class,-30.57,Education
2026-02-08,Dinner at Luigi's,-29.59,Food & Dining
2026-02-26,Concert Tickets,-118.62,Entertainment
2026-02-23,Netflix,-186.59,Entertainment
2026-02-03,Dinner at Luigi's,-102.12,Food & Dining
2026-02-19,Hilton Hotel,-190.79,Travel
