Date,Description,Amount,Category
2025-11-03,Apple Store,-186.71,Shopping
2025-11-12,Phone Bill,-189.36,Bills & Utilities
2025-11-19,Uber,-55.11,Transportation
2025-11-14,Tourist Attraction,-129.44,Travel
2025-11-08,Target,-77.88,Shopping
2025-11-19,ATM Withdrawal,-193.64,Other
2025-11-18,Miscellaneous,-194.47,Other
2025-11-17,ATM Withdrawal,-16.18,Other
2025-11-01,Salary / Payroll,10000.0,Income
2025-11-20,Uber Eats,-167.65,Food & Dining
2025-11-17,Steam Games,-104.91,Entertainment
2025-11-07,Delta Airlines,-95.56,Travel
2025-11-23,Concert Tickets,-198.74,Entertainment
2025-11-12,Uber Eats,-158.41,Food & Dining
2025-11-05,Apple Store,-90.32,Shopping
2025-11-01,Uber,-126.52,Transportation
2025-11-21,Gym Membership,-47.8,Healthcare
2025-11-14,Doctor Visit,-70.42,Healthcare
2025-11-11,Health Insurance,-137.45,Healthcare
2025-11-24,Hilton Hotel,-160.52,Travel
2025-11-09,Phone Bill,-174.44,Bills & Utilities
2025-11-02,City Parking,-80.28,Transportation
2025-11-05,Walmart,-33.99,Shopping
2025-11-09,Concert Tickets,-68.31,Entertainment
2025-11-22,City Parking,-75.56,Transportation
2025-11-19,Gift,-53.4,Other
2025-11-05,Dental Clinic,-64.53,Healthcare
2025-11-16,Auto Repair,-138.24,Transportation
2025-11-04,Concert Tickets,-50.54,Entertainment
2025-11-11,Concert Tickets,-18.77,Entertainment
