Date,Description,Amount,Category
2025-09-21,Electric Bill,-167.77,Bills & Utilities
2025-09-17,Tourist Attraction,-46.38,Travel
2025-09-08,Delta Airlines,-197.87,Travel
2025-09-15,Auto Repair,-158.5,Transportation
2025-09-13,City Parking,-97.48,Transportation
2025-09-16,Target,-121.23,Shopping
2025-09-23,Uber Eats,-42.52,Food & Dining
2025-09-28,Internet Provider,-75.12,Bills & Utilities
2025-09-04,Online Class,-193.82,Education
2025-09-19,ATM Withdrawal,-10.71,Other
2025-09-26,Apple Store,-106.97,Shopping
2025-09-21,Concert Tickets,-167.53,Entertainment
2025-09-28,Delta Airlines,-188.34,Travel
2025-09-07,Apple Store,-141.19,Shopping
2025-09-27,McDonalds,-59.99,Food & Dining
2025-09-04,Salary / Payroll,10000.0,Income
2025-09-20,Local Grocery,-76.26,Food & Dining
2025-09-16,Miscellaneous,-159.6,Other
2025-09-24,McDonalds,-151.75,Food & Dining
2025-09-26,Starbucks,-20.0,Food & Dining
2025-09-06,Internet Provider,-83.93,Bills & Utilities
2025-09-11,Bookstore,-62.85,Education
2025-09-12,Health Insurance,-46.12,Healthcare
2025-09-16,Udemy Course,-83.44,Education
2025-09-06,Dinner at Luigi's,-153.22,Food & Dining
2025-09-25,Miscellaneous,-19.64,Other
2025-09-12,Water Bill,-25.99,Bills & Utilities
2025-09-21,ATM Withdrawal,-91.36,Other
2025-09-18,Phone Bill,-85.74,Bills & Utilities
