Date,Description,Amount,Category
2026-04-02,Hilton Hotel,-49.5,Travel
2026-04-22,Tourist Attraction,-190.42,Travel
2026-04-22,Spotify,-167.31,Entertainment
2026-04-10,Uber Eats,-14.02,Food & Dining
2026-04-28,Udemy Course,-99.42,Education
2026-04-02,Uber,-119.69,Transportation
2026-04-19,Water Bill,-35.24,Bills & Utilities
2026-04-04,Salary / Payroll,10000.0,Income
2026-04-13,Netflix,-28.52,Entertainment
2026-04-08,School Supplies,-109.98,Education
2026-04-10,Concert Tickets,-49.86,Entertainment
2026-04-20,Spotify,-106.99,Entertainment
2026-04-05,Rent,-1236.94,Bills & Utilities
2026-04-03,Starbucks,-93.9,Food & Dining
2026-04-21,Netflix,-32.77,Entertainment
2026-04-24,Amazon,-57.65,Shopping
2026-04-25,Uber,-90.41,Transportation
2026-04-07,Udemy Course,-82.59,Education
2026-04-05,Steam Games,-198.02,Entertainment
2026-04-02,Amazon,-83.14,Shopping
2026-04-27,Airbnb,-163.51,Travel
2026-04-11,Bookstore,-143.53,Education
2026-04-04,Uber,-151.13,Transportation
2026-04-14,Delta Airlines,-142.68,Travel
2026-04-18,Charity Donation,-122.5,Other
2026-04-21,Subscription,-24.78,Other
2026-04-10,Car Rental,-26.27,Travel
2026-04-19,Local Grocery,-63.84,Food & Dining
2026-04-10,Charity Donation,-104.09,Other
2026-04-22,Health Insurance,-16.03,Healthcare
2026-04-26,Dinner at Luigi's,-98.14,Food & Dining
2026-04-26,Car Rental,-160.02,Travel
