Date,Description,Amount,Category
2025-10-20,Hilton Hotel,-133.2,Travel
2025-10-15,Bookstore,-146.54,Education
2025-10-12,School Supplies,-14.17,Education
2025-10-19,Uber Eats,-150.48,Food & Dining
2025-10-03,Amazon,-120.4,Shopping
2025-10-18,Steam Games,-133.44,Entertainment
2025-10-10,Target,-90.04,Shopping
2025-10-19,Concert Tickets,-148.27,Entertainment
2025-10-05,Spotify,-185.21,Entertainment
2025-10-15,Shell Gas,-46.4,Transportation
2025-10-19,ATM Withdrawal,-70.46,Other
2025-10-13,Netflix,-53.29,Entertainment
2025-10-04,Apple Store,-50.53,Shopping
2025-10-13,Spotify,-136.86,Entertainment
2025-10-04,Train Ticket,-176.98,Transportation
2025-10-05,Rent,-1361.09,Bills & Utilities
2025-10-15,Bookstore,-178.81,Education
2025-10-19,Airbnb,-40.5,Travel
2025-10-27,Gift,-41.96,Other
2025-10-01,McDonalds,-193.12,Food & Dining
2025-10-19,Netflix,-142.86,Entertainment
2025-10-17,ATM Withdrawal,-123.22,Other
2025-10-18,School Supplies,-151.37,Education
2025-10-18,ATM Withdrawal,-193.82,Other
2025-10-24,Train Ticket,-69.16,Transportation
2025-10-01,Salary / Payroll,10000.0,Income
2025-10-18,Miscellaneous,-165.4,Other
