Date,Description,Amount,Category
2025-07-15,Car Rental,-143.11,Travel
2025-07-23,Electric Bill,-73.54,Bills & Utilities
2025-07-11,School Supplies,-144.62,Education
2025-07-25,Clothing Boutique,-59.21,Shopping
2025-07-16,Tourist Attraction,-50.76,Travel
2025-07-03,ATM Withdrawal,-119.51,Other
2025-07-02,Udemy Course,-112.29,Education
2025-07-18,Online Class,-130.55,Education
2025-07-26,Delta Airlines,-199.94,Travel
2025-07-23,ATM Withdrawal,-119.28,Other
2025-07-16,Steam Games,-175.15,Entertainment
2025-07-05,Dental Clinic,-48.21,Healthcare
2025-07-03,Salary / Payroll,10000.0,Income
2025-07-23,Walmart,-71.66,Shopping
2025-07-11,Walmart,-62.12,Shopping
2025-07-12,Auto Repair,-173.64,Transportation
2025-07-24,Subscription,-98.96,Other
2025-07-12,Spotify,-29.48,Entertainment
2025-07-10,Clothing Boutique,-172.65,Shopping
2025-07-24,Train Ticket,-42.64,Transportation
2025-07-12,Spotify,-72.45,Entertainment
2025-07-19,Charity Donation,-184.87,Other
2025-07-17,Uber,-107.73,Transportation
2025-07-08,Pharmacy,-71.12,Healthcare
2025-07-20,Local Grocery,-128.29,Food & Dining
