Date,Description,Amount,Category
2025-08-17,School Supplies,-167.84,Education
2025-08-25,Doctor Visit,-128.15,Healthcare
2025-08-17,Gift,-143.43,Other
2025-08-04,Subscription,-167.19,Other
2025-08-06,Doctor Visit,-132.49,Healthcare
2025-08-11,Target,-74.74,Shopping
2025-08-17,City Parking,-14.86,Transportation
2025-08-09,Hilton Hotel,-152.95,Travel
2025-08-02,Phone Bill,-168.28,Bills & Utilities
2025-08-01,Salary / Payroll,10000.0,Income
2025-08-04,Electric Bill,-198.1,Bills & Utilities
2025-08-04,Auto Repair,-165.62,Transportation
2025-08-24,Dental Clinic,-66.6,Healthcare
2025-08-01,Concert Tickets,-34.82,Entertainment
2025-08-19,Airbnb,-41.55,Travel
2025-08-24,Online Class,-112.07,Education
2025-08-21,Phone Bill,-191.49,Bills & Utilities
2025-08-10,City Parking,-12.45,Transportation
2025-08-19,Pharmacy,-26.33,Healthcare
2025-08-03,Udemy Course,-118.86,Education
2025-08-26,Concert Tickets,-24.57,Entertainment
2025-08-25,Tourist Attraction,-68.12,Travel
2025-08-27,Walmart,-156.7,Shopping
2025-08-16,Dinner at Luigi's,-170.63,Food & Dining
