Date,Description,Amount,Category
2026-01-28,Phone Bill,-58.66,Bills & Utilities
2026-01-25,Gift,-112.95,Other
2026-01-10,Hilton Hotel,-117.85,Travel
2026-01-20,Starbucks,-195.45,Food & Dining
2026-01-07,Movie Theater,-64.7,Entertainment
2026-01-19,Online Class,-150.83,Education
2026-01-23,Dinner at Luigi's,-30.07,Food & Dining
2026-01-27,Spotify,-178.93,Entertainment
2026-01-06,Electric Bill,-181.98,Bills & Utilities
2026-01-19,Bookstore,-14.2,Education
2026-01-24,ATM Withdrawal,-125.69,Other
2026-01-26,Health Insurance,-26.27,Healthcare
2026-01-22,Udemy Course,-52.46,Education
2026-01-17,Miscellaneous,-13.91,Other
2026-01-07,Train Ticket,-39.7,Transportation
2026-01-14,Internet Provider,-76.28,Bills & Utilities
2026-01-14,Movie Theater,-33.2,Entertainment
2026-01-07,Clothing Boutique,-102.42,Shopping
2026-01-20,Internet Provider,-89.26,Bills & Utilities
2026-01-12,Tourist Attraction,-191.13,Travel
2026-01-06,Salary / Payroll,10000.0,Income
2026-01-11,Car Rental,-45.92,Travel
2026-01-07,Auto Repair,-185.8,Transportation
2026-01-11,Steam Games,-60.16,Entertainment
2026-01-01,Udemy Course,-57.27,Education
2026-01-26,Netflix,-100.49,Entertainment
2026-01-22,Movie Theater,-11.9,Entertainment
2026-01-14,Delta Airlines,-59.78,Travel
2026-01-22,Phone Bill,-148.83,Bills & Utilities
2026-01-05,Auto Repair,-158.14,Transportation
2026-01-17,Amazon,-50.32,Shopping
2026-01-25,Amazon,-198.82,Shopping
2026-01-20,Concert Tickets,-130.58,Entertainment
