Date,Description,Amount,Category
2025-12-17,Gym Membership,-128.46,Healthcare
2025-12-09,Clothing Boutique,-85.47,Shopping
2025-12-08,Dental Clinic,-30.63,Healthcare
2025-12-05,Car Rental,-104.62,Travel
2025-12-10,Internet Provider,-145.01,Bills & Utilities
2025-12-18,Train Ticket,-183.16,Transportation
2025-12-08,Electric Bill,-67.32,Bills & Utilities
2025-12-13,Dental Clinic,-20.97,Healthcare
2025-12-20,Internet Provider,-126.1,Bills & Utilities
2025-12-02,Amazon,-58.57,Shopping
2025-12-10,Target,-48.52,Shopping
2025-12-20,Steam Games,-141.65,Entertainment
2025-12-24,Local Grocery,-132.27,Food & Dining
2025-12-03,Apple Store,-76.34,Shopping
2025-12-10,Online Class,-103.33,Education
2025-12-10,Dental Clinic,-84.4,Healthcare
2025-12-19,Health Insurance,-186.2,Healthcare
2025-12-25,Auto Repair,-76.42,Transportation
2025-12-24,Tuition Fee,-154.53,Education
2025-12-19,Movie Theater,-65.62,Entertainment
2025-12-17,Doctor Visit,-198.58,Healthcare
2025-12-10,Shell Gas,-182.49,Transportation
2025-12-02,Pharmacy,-53.29,Healthcare
2025-12-25,Water Bill,-155.22,Bills & Utilities
2025-12-04,Salary / Payroll,10000.0,Income
2025-12-23,Health Insurance,-129.46,Healthcare
2025-12-24,Shell Gas,-29.29,Transportation
